dataset,imgsz,conf,iou,precision,recall,f1,map50,map50_95
cnw,416,0.03,0.45,0.7551769730148975,0.5519669199821189,0.6377763153232345,0.6461623493094459,0.3671050815708501
cnw,416,0.05,0.45,0.7551769730148975,0.5519669199821189,0.6377763153232345,0.6554388713524297,0.3762324151974744
cnw,416,0.1,0.45,0.7551769730148975,0.5519669199821189,0.6377763153232345,0.6695628849601498,0.39125785506725747
cnw,416,0.2,0.45,0.7551769730148975,0.5519669199821189,0.6377763153232345,0.6843820701583732,0.4113811347963631
cnw,416,0.35,0.45,0.8248839537635387,0.5064260169870362,0.627566388533047,0.6859076519328845,0.4358273581416592
mh16,416,0.03,0.45,0.6771336761280632,0.6247548827359009,0.6498906032250059,0.6740363006178307,0.29813426617957944
mh16,416,0.05,0.45,0.6771336761280632,0.6247548827359009,0.6498906032250059,0.6764814590198683,0.3048398414224433
mh16,416,0.1,0.45,0.6771336761280632,0.6247548827359009,0.6498906032250059,0.6777037910690943,0.31476608147554985
mh16,416,0.2,0.45,0.6779169862780192,0.6238920699662719,0.6497835144187567,0.6732623513282973,0.3261863275599886
mh16,416,0.35,0.45,0.8000263123273254,0.4769785865558083,0.5976412776412776,0.6455251378851816,0.3336599913499127
